NAME_2,region,09/06/2020,10/05/2020
Abidjan,Abidjan,268,195
Gbokle,Gbokle,2,0
Nawa0,Nawa,31,4
San-Pedro,San-Pedro,107,44
Indenie-Djuablin,Indenie-Djuablin,16,2
Sud Comoe,Sud Comoe,255,68
Folon,Folon,0,0
Kabadougou,Kabadougou,2,1
Goh,Goh,14,5
Loh-Djiboua,Loh-Djiboua,2,0
Belier,Belier,16,2
Iffou,Iffou,0,0
Moronou,Moronou,0,0
Nzi,Nzi,2,0
Agneby-Tiassa,Agneby-Tiassa,26,5
Grands Ponts,Grands Ponts,36,8
La Me,La Me,6,0
Cavally,Cavally,3,0
Guemon,Guemon,11,1
Tonkpi,Tonkpi,5,3
Haut-Sassandra,Haut-Sassandra,7,0
Marahoue,Marahoue,10,2
Bagoue,Bagoue,0,0
Poro,Poro,14,4
Tchologo,Tchologo,2,0
Gbeke,Gbeke,154,12
Hambol,Hambol,3,0
Bafing,Bafing,0,0
Bereh,Bereh;0,0
Worodougou,Worodougou,1,0
Yamoussoukro,Yamoussoukro,0,0
Bounkani,Bounkani,3,0
Gontougo,Gontougo,1,1

